Entry ID,Contest Name,Contest ID,Entry Fee,SP,SP,C,1B,2B,3B,SS,OF,OF,OF
,,,,Kyle Hendricks,JP Sears,Sean Murphy,Josh Bell,Ozzie Albies,Austin Riley,Paul DeJong,Ronald Acuna Jr.,Jorge Soler,Michael Brantley
,,,,Kevin Gausman,Tarik Skubal,Jonah Heim,Josh Bell,Whit Merrifield,Gunnar Henderson,Paul DeJong,Kyle Tucker,Michael Brantley,Jake McCarthy
,,,,JP Sears,Kevin Gausman,Will Smith,Freddie Freeman,Whit Merrifield,Jeimer Candelario,Paul DeJong,Teoscar Hernandez,Michael Brantley,Jake McCarthy
,,,,Kevin Gausman,Anthony DeSclafani,Jonah Heim,Josh Bell,Whit Merrifield,Manny Machado,Xander Bogaerts,Juan Soto,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Kevin Gausman,Gabriel Moreno,Josh Bell,Whit Merrifield,Gunnar Henderson,Paul DeJong,Michael Brantley,Jake McCarthy,Carlos Santana
,,,,Kevin Gausman,Tarik Skubal,Gabriel Moreno,Luke Voit,Whit Merrifield,Jordan Walker,Paul DeJong,Ian Happ,Seiya Suzuki,Jake McCarthy
,,,,Anthony DeSclafani,Sonny Gray,Tyler Stephenson,Rhys Hoskins,Kolten Wong,Manny Machado,Amed Rosario,Juan Soto,Christian Yelich,Carlos Santana
,,,,Spencer Strider,Tarik Skubal,Jonah Heim,Luke Voit,Whit Merrifield,Gunnar Henderson,Paul DeJong,Michael Brantley,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Tarik Skubal,Gabriel Moreno,Josh Bell,Whit Merrifield,Jeimer Candelario,Paul DeJong,Cedric Mullins,Jake McCarthy,Carlos Santana
,,,,Kevin Gausman,Tarik Skubal,Bo Naylor,Josh Bell,Whit Merrifield,Jose Ramirez,Paul DeJong,Steven Kwan,Michael Brantley,Jake McCarthy
,,,,Anthony DeSclafani,Tarik Skubal,Sean Murphy,Matt Olson,Whit Merrifield,Austin Riley,Paul DeJong,Michael Brantley,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Sonny Gray,Gabriel Moreno,Josh Bell,Whit Merrifield,Jeimer Candelario,Paul DeJong,Kyle Tucker,Michael Brantley,Jake McCarthy
,,,,JP Sears,Hunter Greene,Will Smith,Freddie Freeman,Whit Merrifield,Jordan Walker,Paul DeJong,Teoscar Hernandez,Jake McCarthy,Carlos Santana
,,,,Kevin Gausman,Anthony DeSclafani,Tyler Stephenson,Luke Voit,Whit Merrifield,Manny Machado,Xander Bogaerts,Juan Soto,Michael Brantley,Jake McCarthy
,,,,Spencer Strider,Kevin Gausman,Gabriel Moreno,Luke Voit,Whit Merrifield,Jeimer Candelario,Xander Bogaerts,Michael Brantley,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Anthony DeSclafani,Gabriel Moreno,Josh Bell,Whit Merrifield,Jordan Walker,Paul DeJong,Ian Happ,Seiya Suzuki,Jake McCarthy
,,,,Matthew Boyd,Chris Sale,Tyler Stephenson,Rhys Hoskins,Kolten Wong,Manny Machado,Amed Rosario,Juan Soto,Christian Yelich,Jorge Soler
,,,,Spencer Strider,Tarik Skubal,Gabriel Moreno,Luke Voit,Whit Merrifield,Jordan Walker,Paul DeJong,Jorge Soler,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Kevin Gausman,Tyler Stephenson,Luke Voit,Whit Merrifield,Manny Machado,Paul DeJong,Michael Brantley,Jake McCarthy,Carlos Santana
,,,,Spencer Strider,Kevin Gausman,Bo Naylor,Luke Voit,Andres Gimenez,Jeimer Candelario,Paul DeJong,Steven Kwan,Michael Brantley,Jake McCarthy
